Unnamed: 0,"If you abolish something, what are you doing?",You are officially ending it,You are telling everyone about it.,You are taking something old and making it seem new.,a,"If someone in authority abolishes a law or practice, they formally put an end to it.",0,"abrogate, annul, cancel",300
abridge,What happens if you abridge a novel?,You shorten it by omitting some content,You explain its connection to another story.,You add references to other similar works.,a,"If you abridge a book or play, you make it shorter by making cuts to the original.",0,"abbreviate, curtail, truncate",300
abstract,When is something abstract?,When it is familiar to most of the general public.,When it exists only in the mind and not in reality,When it is relatively easy to understand or solve.,b,"When an idea is abstract, it is not based on a sensed material object but is rather based on a mental concept or is purely theoretical.",0,"abstruse, hypothetical, philosophical",300
acclaim,What happens when someone is acclaimed for their accomplishments?,They are mostly forgotten after they die.,They are shown to have lied about their identity.,They are greatly honored by others,c,"When you acclaim the deeds of someone, you praise them highly and approve of them enthusiastically.",0,"acclamation, applause, commendation",300
accommodate,What happens when you accommodate someone?,You adjust things to make life easier for them,You have a fun time joking around with them.,You try to follow the example they set for you.,a,"When you accommodate the needs of another, you adapt or adjust to those needs to make things more convenient for that person.",0,"contain, entertain, hold",300
acme,What is the acme of someoneï¿½s career?,It is the beginning or first year of it.,It is the training they need to do it.,It is the highest level they can reach in it,c,The acme of something is its highest point of achievement or excellence.,0,"apogee, capstone, climax",300
adage,What is an adage?,A memorable saying that expresses some common fact of life,A once-wise saying that is no longer relevant in modern life.,A collection of short stories from twentieth-century England.,a,An adage is an inherited saying or phrase that has been historically used to express a common experience.,0,"aphorism, axiom, dictum",300
advent,What is the advent of something?,It is the exact midpoint of it.,It is the start of something new,It is the length of time that it exists.,b,"The advent of something, such as a new kind of technology, marks the beginning of its arrival or appearance to the world at large.",0,"arrival, coming, onset",300
adversary,How would an adversary act towards you?,They would help you become famous.,They would try to work against you,They would stay away from you.,b,"An adversary is a person who goes against you in some way, such as an opponent in a contest or a personal enemy in a conflict.",0,"antagonist, attacker, competitor",300
adversity,What is adversity?,It is an event you are excited about.,It is an unforgettable moment in your day.,It is a hardship in your life,c,"If you undergo adversity in life, you struggle with trouble, bad luck, and difficult times.",0,"calamity, catastrophe, crunch",300
aesthetic,Why would people most likely be discussing somethingï¿½s aesthetic quality?,They are standing in an art museum in front of a beautiful painting,They are working together on some math homework.,They are arguing about who won the board game they were playing.,a,"The word aesthetic is used to talk about art, beauty, the study of beauty, and the appreciation of beautiful things.",0,"artistic, creative, esthetic",300
