abolish,"If you abolish something, what are you doing?",You are officially ending it,You are telling everyone about it.,You are taking something old and making it seem new.,a,"If someone in authority abolishes a law or practice, they formally put an end to it.",0,"abrogate, annul, cancel",300
abridge,What happens if you abridge a novel?,You shorten it by omitting some content,You explain its connection to another story.,You add references to other similar works.,a,"If you abridge a book or play, you make it shorter by making cuts to the original.",0,"abbreviate, curtail, truncate",300
abstract,When is something abstract?,When it is familiar to most of the general public.,When it exists only in the mind and not in reality,When it is relatively easy to understand or solve.,b,"When an idea is abstract, it is not based on a sensed material object but is rather based on a mental concept or is purely theoretical.",0,"abstruse, hypothetical, philosophical",300
acclaim,What happens when someone is acclaimed for their accomplishments?,They are mostly forgotten after they die.,They are shown to have lied about their identity.,They are greatly honored by others,c,"When you acclaim the deeds of someone, you praise them highly and approve of them enthusiastically.",0,"acclamation, applause, commendation",300
accommodate,What happens when you accommodate someone?,You adjust things to make life easier for them,You have a fun time joking around with them.,You try to follow the example they set for you.,a,"When you accommodate the needs of another, you adapt or adjust to those needs to make things more convenient for that person.",0,"contain, entertain, hold",300
acme,What is the acme of someone’s career?,It is the beginning or first year of it.,It is the training they need to do it.,It is the highest level they can reach in it,c,The acme of something is its highest point of achievement or excellence.,0,"apogee, capstone, climax",300
adage,What is an adage?,A memorable saying that expresses some common fact of life,A once-wise saying that is no longer relevant in modern life.,A collection of short stories from twentieth-century England.,a,An adage is an inherited saying or phrase that has been historically used to express a common experience.,0,"aphorism, axiom, dictum",300
adamant,When might you be adamant about a decision?,When you are absolutely convinced it is the right thing to do,When you are worried that you might have made a bad choice.,When you think it’s the right thing to do but want another opinion.,a,"When a person is adamant about an opinion they have, they remain very determined about it and do not yield to anyone’s attempt to change it.",0,"determined, insistent, intransigent",300
advent,What is the advent of something?,It is the exact midpoint of it.,It is the start of something new,It is the length of time that it exists.,b,"The advent of something, such as a new kind of technology, marks the beginning of its arrival or appearance to the world at large.",0,"arrival, coming, onset",300
adversary,How would an adversary act towards you?,They would help you become famous.,They would try to work against you,They would stay away from you.,b,"An adversary is a person who goes against you in some way, such as an opponent in a contest or a personal enemy in a conflict.",0,"antagonist, attacker, competitor",300
adversity,What is adversity?,It is an event you are excited about.,It is an unforgettable moment in your day.,It is a hardship in your life,c,"If you undergo adversity in life, you struggle with trouble, bad luck, and difficult times.",0,"calamity, catastrophe, crunch",300
aesthetic,Why would people most likely be discussing something’s aesthetic quality?,They are standing in an art museum in front of a beautiful painting,They are working together on some math homework.,They are arguing about who won the board game they were playing.,a,"The word aesthetic is used to talk about art, beauty, the study of beauty, and the appreciation of beautiful things.",0,"artistic, creative, esthetic",300
affiliation,What is an affiliation?,It is an official connection to an institution,It is an opportunity to support an organization financially.,It is a preference for a particular activity or belief.,a,"If you have an affiliation with a group or another person, you are officially involved or connected with them.",0,"connection, partnership, relationship",300
affirmation,What is an affirmation?,It is an unpopular opinion that is starting to gain followers.,It is someone’s strong statement of the truth of something,It is a reckless act that has unfortunate consequences.,b,An affirmation is a declaration or confirmation that something is true.,0,"assertion, confirmation",300
affliction,What is an affliction?,A physical or mental condition that causes you distress,A short period when you’re happier than you’ve ever been before.,A date of something that is important for you to remember.,a,"An affliction is something that causes pain and mental suffering, especially a medical condition.",0,"calamity, disease, disorder",300
aftermath,What is the best example of an aftermath?,A village’s people watching a tornado approach from far away with fascination.,The time before a tornado occurs during which a village is preparing for the worst.,A village’s trees blown down and roofs blown off by a powerful tornado,c,"An aftermath describes the consequences or results that follow a particularly destructive event, such as a natural disaster or war.",0,"chain reaction, impact, outcome",300
aggravation,What is an example of aggravation?,It is a growing feeling of annoyance or impatience,It is feeling exhausted but also happy when a vacation ends.,It is a moment of regret that happens after failing to help someone.,a,"When you feel aggravation over something, you are being constantly annoyed or bothered by it, often because it is getting worse over time.",0,irritation,300
ambidextrous,What does it mean when a person is ambidextrous?,That person can create beautiful things with remarkable speed and skill.,That person can use both their left and right hands with equal skill,That person is particularly competitive in their profession.,b,"When a person is ambidextrous, they can use their left or right hand with equal skill.",0,none,300
antiquated,What does it mean when something is antiquated?,It is considered highly likable and even beloved.,It is considered too old and useless,It is considered boring and not interesting.,b,Something antiquated is old-fashioned and not suitable for modern needs or conditions.,0,"ancient, archaic, old-fashioned",300
aptitude,What is an aptitude for math?,It is a wish to be better at math.,It is a strong dislike of math.,It is an ability to do math very well,c,Someone’s aptitude at a skill is their natural ability to perform it well; this word also refers to someone’s ability to learn something new or become better at a skill.,0,"predilection, propensity",300
augment,What does it mean to augment something?,You make it work better than it originally did,You fix it because it has not been functioning.,You persuade others that it is worth buying.,a,To augment something is to increase its value or effectiveness by adding something to it.,0,"add to, amplify, boost",300
chaotic,What is a chaotic situation?,Mistakes are made but are at last fixed.,There is great confusion and lack of order,The outcome is better than anticipated.,b,A chaotic state of affairs is in a state of confusion and complete disorder.,0,"anarchic, disorganized, helter-skelter",300
chronicle,Why might you read a chronicle?,You agree with one person’s opinion and want to learn more about their ideas.,You want to know the order that certain events happened in your town,You have to read a story that contains both facts and fiction for homework.,b,A chronicle is a record of historical events that arranges those events in the correct order in which they happened.,0,"annals, diary, journal",300
chronological,What are you doing if you put things in chronological order?,You are placing them in categories based on similarities.,You are listing them in the order that they happened,You are ranking them in order of importance.,b,A chronological history arranges events in the order that they happened.,0,"historical, sequential",300
cognitive,What does the adjective cognitive describe?,A person’s social reputation within a particular setting.,Someone’s capacity to work hard in difficult situations.,Those abilities having to do with the intellect or thinking,c,"Cognitive describes those things related to judgment, memory, and other mental processes of knowing.",0,"emotional, intellectual, mental",300
condescend,What happens if you condescend to someone?,You do something that shows you feel superior to them,You support them with generous acts of charity and kindness.,You share highly confidential information with them.,a,"When people condescend, they behave in ways that show that they are supposedly more important or intelligent than other people.",0,"accommodate, accord, acquiesce",300
conjecture,How would you most likely react to someone’s conjecture?,"You’d believe their argument was solid and clear, in need of no more explanation.",You’d appreciate their popular idea because it’s so interesting.,You’d want more convincing evidence to back up their theory,c,A conjecture is a theory or guess that is based on information that is not certain or complete.,0,"guesswork, hunch, hypothesis",300
conscientious,What does someone do if they are conscientious?,They work hard to complete a job,They don’t usually finish a job they start.,They take credit for jobs that other people do.,a,"When someone is conscientious in performing a task, they do it in a thorough and careful fashion to make sure that it is completely done.",0,"diligent, fastidious, fussy",300
constrain,What happens when you are constrained by something?,You are awarded for having done something.,You are punished for doing something wrong.,You are prevented from doing something,c,"When you are constrained, you are forced to do something or are kept from doing it.",0,"bind, constrict, curb",300
contemporary,What is a contemporary work of art?,It is a copy of a famous painting.,It is created in the current time,It was created years ago but is still valuable.,b,A contemporary object exists at the same time as something else or exists at the current time.,0,"new, present-day",300
convene,What happens when people convene?,They agree on a key issue.,They get together in one place,They run in different directions.,b,People convene when they gather together or are called together by someone for a meeting.,0,"assemble, gather, open",300
